Code :2100     | Name:GGRS87 / Greek Grid                                                 | Test result is OK!
Code :2101     | Name:Lake / Maracaibo Grid M1                                            | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2102     | Name:Lake / Maracaibo Grid                                               | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2103     | Name:Lake / Maracaibo Grid M3                                            | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2104     | Name:Lake / Maracaibo La Rosa Grid                                       | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2105     | Name:NZGD2000 / Mount Eden 2000                                          | Test result is OK!
Code :2106     | Name:NZGD2000 / Bay of Plenty 2000                                       | Test result is OK!
Code :2107     | Name:NZGD2000 / Poverty Bay 2000                                         | Test result is OK!
Code :2108     | Name:NZGD2000 / Hawkes Bay 2000                                          | Test result is OK!
Code :2109     | Name:NZGD2000 / Taranaki 2000                                            | Test result is OK!
Code :2110     | Name:NZGD2000 / Tuhirangi 2000                                           | Test result is OK!
Code :2111     | Name:NZGD2000 / Wanganui 2000                                            | Test result is OK!
Code :2112     | Name:NZGD2000 / Wairarapa 2000                                           | Test result is OK!
Code :2113     | Name:NZGD2000 / Wellington 2000                                          | Test result is OK!
Code :2114     | Name:NZGD2000 / Collingwood 2000                                         | Test result is OK!
Code :2115     | Name:NZGD2000 / Nelson 2000                                              | Test result is OK!
Code :2116     | Name:NZGD2000 / Karamea 2000                                             | Test result is OK!
Code :2117     | Name:NZGD2000 / Buller 2000                                              | Test result is OK!
Code :2118     | Name:NZGD2000 / Grey 2000                                                | Test result is OK!
Code :2119     | Name:NZGD2000 / Amuri 2000                                               | Test result is OK!
Code :2120     | Name:NZGD2000 / Marlborough 2000                                         | Test result is OK!
Code :2121     | Name:NZGD2000 / Hokitika 2000                                            | Test result is OK!
Code :2122     | Name:NZGD2000 / Okarito 2000                                             | Test result is OK!
Code :2123     | Name:NZGD2000 / Jacksons Bay 2000                                        | Test result is OK!
Code :2124     | Name:NZGD2000 / Mount Pleasant 2000                                      | Test result is OK!
Code :2125     | Name:NZGD2000 / Gawler 2000                                              | Test result is OK!
Code :2126     | Name:NZGD2000 / Timaru 2000                                              | Test result is OK!
Code :2127     | Name:NZGD2000 / Lindis Peak 2000                                         | Test result is OK!
Code :2128     | Name:NZGD2000 / Mount Nicholas 2000                                      | Test result is OK!
Code :2129     | Name:NZGD2000 / Mount York 2000                                          | Test result is OK!
Code :2130     | Name:NZGD2000 / Observation Point 2000                                   | Test result is OK!
Code :2131     | Name:NZGD2000 / North Taieri 2000                                        | Test result is OK!
Code :2132     | Name:NZGD2000 / Bluff 2000                                               | Test result is OK!
Code :2133     | Name:NZGD2000 / UTM zone 58S                                             | Test result is OK!
Code :2134     | Name:NZGD2000 / UTM zone 59S                                             | Test result is OK!
Code :2135     | Name:NZGD2000 / UTM zone 60S                                             | Test result is OK!
Code :2136     | Name:Accra / Ghana National Grid                                         | Test result is OK in center, but not in corners: diff(lon) =   -0.0001   -0.0001   -0.0001   -0.0001   -0.0001 | diff(lat) =    0.0000    0.0000    0.0000   -0.0000   -0.0000 
