CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1994.01,10/13/1994,10/17/1994,Larry Flournoy;  Anadrill,Name and parameters for Gulf of Mexico UTM feet zones.,Proj,,Consulted MMS (Drew); Chevron; Shell; JECA; confirmed existing data (P0121-P0124) acceptable.,None.
1995.01,1/3/1995,1/30/1995,John Bobbitt; POSC,Clarke 1880 (Arc) name.,,,Not found.  Revert to reporter.,None.
1995.02,1/3/1995,1/30/1995,John Bobbitt; POSC,Modified American Foot conversion factor incosistency.,Ellips  Proj,E009  P0242-0244,Value = 12 * 1.0000382 / 39.37 = 0.30481225... as given in linear unit table.  ,E009; P0242-0244 updated.
1995.03,1/3/1995,1/30/1995,John Bobbitt; POSC,Abbreviation for grad.,,,Suggestion implemented.,Updates throughout most files.
1995.04,1/3/1995,6/2/1995,John Bobbitt; POSC,Gauss-Kruger projection method to be TM.,,,In consultancy brief.,TM adopted for version 2.
1995.05,1/4/1995,1/30/1995,John Bobbitt; POSC,Spelling of Lisbon.,GDatum  GeogCS,G228-229  C0080,Reviewed at 27-Jan-95 wg meeting. Lisboa to be replaced by Lisbon.,G228-229; C0080 amended.
1995.06,1/11/1995,1/30/1995,John Bobbitt; POSC,Error in Swiss projection longitude of origin.,Proj,P0531,Reviewed at 27-Jan-95 wg meeting.,P0531 longitude of origin value amended .
1995.07,1/11/1995,1/30/1995,John Bobbitt; POSC,Difficulty in POSC model coping with apostrophies.,GeogCS,G162,Reviewed at 27-Jan-95 wg meeting. Apostrophe dropped from M'poroloko but not Cote d'Ivoire as this is ISO spelling.,G162 amended.
1995.081,1/27/1995,1/30/1995,EPSG wg.,Adopt ISO country names.,GeogCS  ProjCS,C0018-19; C0081-82; C0091-0336; C0356-57; G117-8; G130; G176; G178; G187-189; G203; G215; G226-227; P0121-0377; P0466; P0523-4 and P0531-2 amended.,Agreed.,C0018-19; C0081-82; C0091-0336; C0356-57; G117-8; G130; G176; G178; G187-189; G203; G215; G226-227; P0121-0377; P0466; P0523-4 and P0531-2 amended.
1995.082,1/27/1995,1/30/1995,EPSG wg.,Add revised France zones.,Proj,P0443-6,Agreed.,P0443-6 amended; P0536-9 added.
1995.083,1/27/1995,1/30/1995,EPSG wg.,Add Morocco zones.,ProjCS,,,P0460-0461 added. P0462 not accepted.
1995.09,4/25/1995,4/28/1995,Mike Ruth; SPOT,Modify Paris PM value to 2.596921296.,PMerid,,Additional precision not required.,None
1995.1,4/25/1995,4/28/1995,Mike Ruth; SPOT,Add sphere; Add NATO Digest ellipsoids (Delambre; Fischer; Hough; Walbeck; WGS60 and WGS66).,Ellips,,Adding sphere agreed (authalic to be included).  Obsolete and scientific ellipsoids not agreed.  (WGS60 and WGS66 are geodetic datums not ellipsoids).,E035 added.
1995.12,5/5/1995,5/10/1995,John Bobbitt; POSC,Hidden spaces in text.,ProjCS,,No error found - data translator assumed the cause of problem.,Reporter advised.
1995.13,5/5/1995,5/10/1995,John Bobbitt; POSC,Ain el Abd datum name not consistently represented in CS names.,GeogCS  ProjCS,G105   C0026,Should be Ain el Abd 1970.,"G105 and C0026 amended from ""Ain el Abd 70"" to ""Ain el Abd 1970"""
1995.14,5/5/1995,5/10/1995,John Bobbitt; POSC,POSC model coping with apostrophies.,GeogCS,G162,Reverses change 1995.70.,M'poroloko  reinstated.
1995.15,5/5/1995,5/10/1995,John Bobbitt; POSC,South Carolina zones: NAD27 duplicated and NAD83 missing.,ProjCS,C0262,Error agreed.  Name is in error; component data OK.,C0262 name amended.
