DEPRECATION_ID,DEPRECATION_DATE,CHANGE_ID,OBJECT_TABLE_NAME,OBJECT_CODE,REPLACED_BY,DEPRECATION_REASON
362,6/22/2002,2002.36,Coordinate Reference System,28478,2508,Change of CRS name to indicate longitude of origin.
363,6/22/2002,2002.36,Coordinate Reference System,28479,2509,Change of CRS name to indicate longitude of origin.
364,6/22/2002,2002.36,Coordinate Reference System,28480,2510,Change of CRS name to indicate longitude of origin.
365,6/22/2002,2002.36,Coordinate Reference System,28481,2511,Change of CRS name to indicate longitude of origin.
366,6/22/2002,2002.36,Coordinate Reference System,28482,2512,Change of CRS name to indicate longitude of origin.
367,6/22/2002,2002.36,Coordinate Reference System,28483,2513,Change of CRS name to indicate longitude of origin.
368,6/22/2002,2002.36,Coordinate Reference System,28484,2514,Change of CRS name to indicate longitude of origin.
369,6/22/2002,2002.36,Coordinate Reference System,28485,2515,Change of CRS name to indicate longitude of origin.
370,6/22/2002,2002.36,Coordinate Reference System,28486,2516,Change of CRS name to indicate longitude of origin.
371,6/22/2002,2002.36,Coordinate Reference System,28487,2517,Change of CRS name to indicate longitude of origin.
372,6/22/2002,2002.36,Coordinate Reference System,28488,2518,Change of CRS name to indicate longitude of origin.
373,6/22/2002,2002.36,Coordinate Reference System,28489,2519,Change of CRS name to indicate longitude of origin.
374,6/22/2002,2002.36,Coordinate Reference System,28490,2520,Change of CRS name to indicate longitude of origin.
375,6/22/2002,2002.36,Coordinate Reference System,28491,2521,Change of CRS name to indicate longitude of origin.
376,6/22/2002,2002.36,Coordinate Reference System,28492,2522,Change of CRS name to indicate longitude of origin.
377,6/22/2002,2002.32,Coordinate_Operation,1316,1796,Change of source CRS name.
378,6/22/2002,2002.4,Coordinate_Operation,1335,1827,Incorrect unit for latitude offset.
379,6/22/2002,2002.37,Coordinate_Operation,1273,1829,Published with incorrect sign of transformation parameter values for direction of transformation.
380,6/22/2002,2002.37,Coordinate_Operation,1677,1830,Error in in sign of dX relative to source transformation 1273. Tfm 1273 from which this tfm taken was published with incorrect sign of transformation parameter values (other than dX) for direction of transformation.
381,6/22/2002,2002.151,Datum,6294,6613,Change of spelling of name.
382,6/22/2002,2002.151,Coordinate Reference System,4294,4613,Change of spelling of name.
383,6/22/2002,2002.151,Coordinate_Operation,1286,1834,Change of spelling of name of source CRS.
384,6/22/2002,2002.151,Datum,6125,6613,Not a self-standing datum but an extension of the Segara datum.
