COORD_AXIS_CODE,COORD_SYS_CODE,COORD_AXIS_NAME_CODE,COORD_AXIS_ORIENTATION,COORD_AXIS_ABBREVIATION,UOM_CODE,ORDER
1039,1024,9906,east,M,9001,1
1040,1024,9907,north,P,9001,2
1062,1025,9906,North along 130°W,X,9001,1
1063,1025,9907,North along 140°E,Y,9001,2
1065,1026,9906,South along 90°E,E,9001,1
1066,1026,9907,South along 180°E,N,9001,2
1056,1027,9906,North along 90°E,E,9001,1
1058,1027,9907,North along 0°E,N,9001,2
1,4400,9906,east,E,9001,1
2,4400,9907,north,N,9001,2
3,4401,9906,east,E,9062,1
4,4401,9907,north,N,9062,2
5,4402,9906,east,E,9042,1
6,4402,9907,north,N,9042,2
7,4403,9906,east,E,9005,1
8,4403,9907,north,N,9005,2
9,4404,9906,east,E,9094,1
10,4404,9907,north,N,9094,2
11,4405,9906,east,E,9041,1
12,4405,9907,north,N,9041,2
13,4406,9906,east,X,9036,1
14,4406,9907,north,Y,9036,2
15,4407,9906,east,E,9039,1
16,4407,9907,north,N,9039,2
17,4408,9906,east,E,9084,1
18,4408,9907,north,N,9084,2
19,4409,9906,east,E,9040,1
20,4409,9907,north,N,9040,2
181,4410,9906,east,E,9301,1
182,4410,9907,north,N,9301,2
236,4460,9906,South along 90°E.,E,9001,1
237,4460,9907,South along 180°E,N,9001,2
207,4461,9929,up,W,9001,3
205,4461,9930,east,U,9001,1
206,4461,9931,north,V,9001,2
193,4462,9906,South along 180°W,X,9001,1
194,4462,9907,South along 90°W,Y,9001,2
195,4463,9906,South along 100°E,X,9001,1
196,4463,9907,South along 170°W,Y,9001,2
197,4464,9906,South along 90°W,X,9001,1
198,4464,9907,South along 0°E,Y,9001,2
199,4465,9906,South along 50°E,X,9001,1
200,4465,9907,South along 140°E,Y,9001,2
201,4466,9906,South along 10°W,X,9001,1
202,4466,9907,South along 80°E,Y,9001,2
203,4467,9906,South along 60°W,X,9001,1
204,4467,9907,South along 30°E,Y,9001,2
191,4468,9906,South along 45°E,X,9001,1
192,4468,9907,South along 135°E,Y,9001,2
187,4469,9906,South along 90°E,X,9001,1
188,4469,9907,South along 180°E,Y,9001,2
185,4470,9906,North along 90°E,X,9001,1
186,4470,9907,North along 0°E,Y,9001,2
137,4471,9906,North along 75°W,E,9001,1
138,4471,9907,North along 165°W,N,9001,2
